FilePath,Text,single_label,probabilities
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0003.ogg,わたしに、そんなつもりはありませんでした,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0005.ogg,でも、結果的に、お母さんを苦しめてしまったことは、理解しています,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0007.ogg,わたしは、白音さんの記憶に従っただけです,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0009.ogg,七波家で、七波白音として振る舞う。そのために、わたしは作られました,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0011.ogg,それなのに、どうしてこうなってしまったのでしょうか……,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0013.ogg,はい、ありました,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0015.ogg,えっと、わたしとしては頼まれていないことを、白音さんとしては頼まれていて、それをわたしが実行したから……でしょうか,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0017.ogg,それは……よく分かりませんでした,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0019.ogg,間違い……？,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0021.ogg,いえ、間違いではないはずです。白音さんの役割を果たすことが、わたしの使命ですから,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0023.ogg,いいえ、三原則に反してはいません,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0025.ogg,だって……,usual,"usual: 99.99%, aegi: 0.01%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0027.ogg,わたしにとって、人とはつまり、使役する人、使用者――お兄ちゃんのことを指します,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0029.ogg,たとえば、三原則の及ぶ範囲を全人類とした場合、わたしは一切買い物をすることが出来なくなってしまいます,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0031.ogg,わたしが商品を買ったせいで誰かがそれを買えなくなり、結果的に不幸になる可能性があるから,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0033.ogg,これは、わたしが行動し、人間と接触するたびに起きる問題です,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0035.ogg,この状況に陥らないために、わたしは、使用者であるお兄ちゃんを傷付けないことを最優先に、行動してきました,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0037.ogg,人間という定義はとても曖昧です,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
D:/Galgame_Dataset/minori_Trinoline/シロネ/srn-A01-0039.ogg,人間から生まれたのが人間とするならば、試験管から生まれた子はどうなるのでしょう,usual,"usual: 100.00%, aegi: 0.00%, chupa: 0.00%"
